Tissue,CT,Gene
Abdomen,Brown adipocyte,"FABP4,UCP1"
Abdomen,Macrophage,"MERTK,FCGR3A,MRC1,VSIG4,CD163"
Adipose tissue,Adipocyte,"PLIN1,RBP4,LEP,ADIPOQ"
Adipose tissue,Adipocyte progenitor cell,"ALCAM,THY1,LUM,COL1A2,MGP,CFD,CCN5,APOD"
Adipose tissue,Adipose progenitor cell,"DLK1,ITGB1"
Adipose tissue,Adipose-derived stem cell,"CD34,MCAM,NGFR,PECAM1,PTPRC,ITGA1,THY1,NGFR,ANPEP,ITGB1,CD44,CD34,PECAM1,VCAM1,PTPRC,ITGB1,CD44,CD34,NT5E,CD9,CD44,THY1,NT5E,THY1,CD14,CD44,THY1,PTPRC,THY1,CD34,PECAM1,PTPRC,POU5F1,KLF4,MYC,ITGB1,NANOG,CD44,SOX2,CD200,THBD,MME,F3,PECAM1,PTPRC,PECAM1,CD34,THY1,PECAM1,CD34,CD44,ITGB1,NT5E,CD55,CD9,MME,CD59,CDH5,CD44,ICAM1,CD34,TFRC,THY1,POU5F1,SOX2,NANOG,VCAM1,ITGB1,PTPRC,THY1,CD34,PECAM1,KLF4,THY1,PDGFRB,MCAM,NANOG,SOX2,POU5F1"
Adipose tissue,Adipose-derived stromal cell,"PECAM1,CD34,CDH5,DLK1,KLF4,ITGB1,POU5F1,NANOG,MYC,CD44,SOX2,F3,CD200,MME,THBD,PECAM1,NT5E,PTPRC,VCAM1,CD34,CD44,THY1,TFRC,ALCAM,THY1,NT5E,CD44,MME,ANPEP,ITGB1"
Adipose tissue,B cell,"IGKC,IGHG3"
Adipose tissue,Dedifferentiation adipocyte,"VCAM1,ITGB1,PTPRC,CD34,CD44"
Adipose tissue,Dendritic cell,"HLA-DRA,HLA-DRB1"
Adipose tissue,Endoderm progenitor cell,"PECAM1,CD34,PROM1"
Adipose tissue,Endothelial cell,"CD34,MCAM,NGFR,PECAM1,PTPRC,PROM1,CD34,ABCG2,PECAM1,PECAM1,MCAM,VWF,VWF,PECAM1,PECAM1,VWF,PECAM1,CD34,ECSCR,PECAM1,PECAM1,CDH5,PDPN,PROX1,FLT4,VWF"
Adipose tissue,Epithelial cell,"VWF,KDR,EPCAM,KRT8,KRT18,CLDN3"
Adipose tissue,Fat cell (adipocyte),"CIDEA,FABP4,UCP1,ZIC1,DLK1,BSCL2,ADIPOR1,DLK2,ADIPOR2,VSTM2A,VSTM2B,TNFRSF9,PPARG,SLC2A4,CLTCL1,ADIPOQ,SLC27A5,SLC27A4,SLC27A2,SLC27A6,SLC27A1"
Adipose tissue,Fibroblast,"LRP1,PTPRC"
Adipose tissue,Hematopoietic cell,"LRP1,PTPRC"
Adipose tissue,Immature endothelial cell,"PECAM1,CD34"
Adipose tissue,Innate lymphoid cell 1,"IL2,TBX21"
Adipose tissue,M1 macrophage,"CD68,TREM2"
Adipose tissue,M2 macrophage,"CD163,FOLR2,MRC1"
Adipose tissue,Macrophage,"CD14,CD68,CD68,PTPRC,CD14,MRC1,CD14,PTPRC,FCGR2A,FCGR3A"
Adipose tissue,Mature endothelial cell,"PECAM1,CD34"
Adipose tissue,Mesenchymal stem cell,"CD19,CD34,CD44,ALCAM,ANPEP,ERBB2,ITGA5,ITGAV,ITGB1,KIT,MME,NCAM1,NGFR,NT5E,PECAM1,PTPRC,TFRC,THY1,TNFRSF1A,VCAM1,CD34,CD44,ITGB1,THY1,THY1,CD44,PTPRC,ITGB1,NT5E,PECAM1,CD34,CD70,THY1,CD34,NCAM1,CD44,NGFR,ITGB1,ANPEP,THY1,CD34,CD44,PTPRC,CD44,NT5E,THY1,PTPRC,NT5E,CD34,PECAM1,CD44,THY1,THY1,ITGB1,CD44,ITGB1,PTPRC,NT5E,THY1,CD14,CD44,CD34,UCP1,NANOG,SOX2,POU5F1,THY1,POU5F1,NANOG,THY1,NT5E"
Adipose tissue,Mesenchymal stromal cell,"NGFR,SUSD2,CD34,CD44,NT5E,THY1,CD44"
Adipose tissue,Monocyte,"PTPRC,CD14,S100A9,S100A8"
Adipose tissue,Multipotent mesenchymal stroma cell,"THY1,NT5E,PTPRC,CD34"
Adipose tissue,Natural killer cell,"FCGR3A,KLRK1,KLRD1,FASLG,NCAM1,NCR1,NKG7,GNLY"
Adipose tissue,Pericyte,"CD34,MCAM,NGFR,PECAM1,PTPRC,PECAM1,MCAM,CD34,CSPG4,MCAM,CSPG4,MCAM"
Adipose tissue,Preadipocyte,"PECAM1,CD36"
Adipose tissue,Smooth muscle cell,"PECAM1,MCAM"
Adipose tissue,Stem cell,"ITGB1,CD44,THY1,CD34,ABCG2,NT5E,CD44,THY1,CD34,PECAM1,NT5E,CD34,PTPRC,THY1,THY1,ITGB1,NT5E,CD34,FABP4"
