Tissue,CT,Gene
Abdomen,Fibro-adipogenic progenitor cell,"Ccn4,Pdgfra,Cxcl5,Ccl7,Ly6a,Tnc,Dpp4"
Adipose tissue,Adipocyte,"Agt,Kng1,Il1rn,Kng2,Esm1,Adipoq,Lepr,Serpina3g,Pparg,Lpl,Gdpd2,Cxcl12,Pnpla2,Adipoq,Fabp4,Plin1,Dgat2,Cidec,Lep,Adipoq"
Adipose tissue,Adipocyte progenitor cell,"Atxn1,Itgb1,Scarb1,Atxn1,Ly6a,Cd81"
Adipose tissue,Adipogenic cell,"Cd36,Pparg,Fabp4,Adipoq,Aoc3,Cidec"
Adipose tissue,Adipose-derived stem cell,"Ly6a,Itgb1,Ly6a,Eng,Thy1,Retn"
Adipose tissue,Chondrogenic cell,"Sox6,Sox5,Acan,Comp,Col11a1,Col10a1"
Adipose tissue,Endogenic cell,"Vwf,Mcam,Pecam1,Cdh5,Thbd,Vcam1"
Adipose tissue,Endothelial cell,"Cdh5,Cd34,Flt4,Flt4,Cdh5,Prox1"
Adipose tissue,Fat cell (adipocyte),"Cidea,Ucp1,Fabp4,Tmem26,Tbx1"
Adipose tissue,Hematopoietic cell,"Ptprc,Gata2,Spi1,Kit,Slamf1,Thy1"
Adipose tissue,Immune cell,"Il2,Il6,Tnf,Il10,Il1b,Ifng"
Adipose tissue,M1 macrophage,"Tnf,Nos2,Il18,Ccl5,Ccl2,Nos2,Il1b"
Adipose tissue,M2 macrophage,"Il4,Mrc1,Clec10a,Mrc1,Chil3,Mrc1"
Adipose tissue,Macrophage,"Adgre1,Adgre1,Adgre1,Mrc1,Adgre1,Adgre1,Adgre1,Adgre1,Mrc1,Trem2,Fcgr1,Arg1,Adgre1,Cd14,Adgre1,Adgre1,Csf1r"
Adipose tissue,Mesenchymal stem cell,"Eng,Nt5e,Eng,Thy1,Thy1,Pdgfra"
Adipose tissue,Osteogenic cell,"Ogn,Alpl,Runx2,Col1a1,Sp7,Bglap"
Adipose tissue,Schwalie et al.Nature.G1,"Xdh,Sfrp2,Ddah2,Rcan2,Rap1b,Nptn,Itga11,Cyb5a,Nfix,Fndc1,Ar,Mustn1,Fhl1,Ackr2,Mfap5,Tle5,Marcks,Ddr2,Itm2b,Arhgef28,Adam33,Glt8d2,Ablim1,Lamp1,Tnxb,Fbln1,Aldh1a3,Fyn,Tns1,Igfbp5,Gstt1,Ctsl,Anpep,Nox4,Ltbp1,Klf3,Rpl18a,Apod,Lims2,Ccn3,Smpdl3a,Rps27,Cpne8,Pi16,Galnt15,S100a11,Pcolce2,Aif1l,Heg1,Cox7a2l,Tshz2,Gstm1,Nenf,Islr2,Ugdh,Lsp1,Zfp385a,Cd55,Gpc3,Ckb,Ugp2,Ebf1,Ebf2,Bmp1,AW551984,Limch1,Prrx1,Pam,Sema3c,Dpt,Cadm3,Edn1,Rpl7a,Jpt1,Nova1,Galnt16,Sptbn1,Use1,Calml4,Adamts5,Gpc6,Zfp36l1,Gfpt2,Zbtb16,Tmem100,Gas7,Nbl1,Foxp1,Zyx,Rpl35a,Rbpj,Ecm1,Antxr2,Slc4a4,Il13ra1,Wnt2,Nid1,Fbln5,Pcsk6,Sbsn,Rac1,Prkca,Rpl13a,Smpd3,Gap43,Ahnak,Prss23,Efemp1,Prelp,Mmp2,Procr,Plxdc2,Emilin2,Scara3,Rpl22,Serping1,Sfrp4,Ralbp1,Engase,Metrnl,Emp3,Arl4d,Cltb,Ecscr,Aspn,H2-K1,Edem2,Plat,Add3,Scara5,Chrdl1,Uap1,Car8,Rps14,Sema3b,Timp2,Rarres2,Plpp3,Serpina3c,Rpl34,Rras,Man1a,Dpp4,Fstl1,Slc43a3,Bdh2,Fgl2,Uchl1,Islr,1700019D03Rik,Plce1,Fau,Rps4x,Htra3,Camk2n1,Tapbp,Csrp2,Smim14,Lurap1l,H2-D1,Basp1,Fgfr1,Pcdh20,Pmp22,Col14a1,Glul,Stxbp6,Steap3,Mgll,Qpct,Rps15,Esr1,Rps11,Clec3b,Dact1,Olfml2b,Pdpn,Adamtsl4,Lrrn4cl,Ahnak2,Antxr1,Daglb,Hs3st1,Tek,Fn1,Grb10,C3,Klf4,Pamr1,Medag,Ace,B2m,Pde8a,Opcml,Ptgis,Creb5,Sulf1,Dbp,Dpep1"
Adipose tissue,Schwalie et al.Nature.G2,"Fmo1,Serf1,Tcf12,Lpl,Rassf2,Penk,Tcf4,Cd36,Plin2,Tpbg,Gpr153,Fscn1,Fhl2,Tpm2,Spop,Snhg18,Btg1,Alx4,Enpep,Adam23,Scg3,Col1a1,Sat1,Ptms,Rrbp1,Tmem119,Sh3bgrl3,Lrrc15,Myo1b,Peg3,Col18a1,Sparcl1,Fkbp9,Pear1,Pofut2,Fbln7,Slc9a3r2,Ssr2,Clmp,Tusc3,Pebp1,Cdh11,Mmp19,Nr2f2,Ednra,Col13a1,Egflam,Col15a1,Rcn1,Epas1,Psap,Siva1,Ptprs,Gsto1,Gpm6b,Btg2,Cald1,Col6a2,Noct,Igsf3,Lama2,Crtap,Arid5b,Csnk1a1,Pth1r,Colec12,Pdgfrb,Adamts12,Frem1,Emilin1,Ccnd2,Eid1,Ddx3x,Col5a3,Col4a2,Plekha6,Slit2,Mfap2,Fabp4,Mafb,Dipk1b,Agap1,Txndc5,Ech1,Lix1l,Marcksl1,Eva1b,Nrep,Fkbp10,Col5a2,Apbb1ip,Cotl1,Acot7,Calm3,Rhob,Sgk1,Adgra2,Ldhb,Enpp2,Idh2,Mmp14,Bmper,Tmed9,Rcn3,Abca8a,Nxph3,Adgrl1,Egr2,Anxa5,Ldha,Scarf2,Fus,Gna12,Enah,Lgals1,Cthrc1,Adam12,Col3a1,Vwa1,Palld,C1qtnf12,P3h1,Lbh,Sdc1,Ifi27,Auts2,Creg1,Ckap4,Tubb5,Serpine1,Mme,Pgrmc1,Tceal9,Abracl,Gadd45b,Hmcn1,Lamb1,Kdelr3,Rgs2,Clk1,Postn,Tpm4,Cacna1g,Slc25a51,Hspg2,Mettl9,Ivns1abp,Frmd4b,Srpx,Rbm39,Gria3,Mdk,Map4k4,Dpysl3,Hc,Aoc3,Neat1,Mrfap1,Ctsk,Angpt2,Fgf10,Col27a1,Fam102b,Gucy1a1,Gsc,Map2,Hmgn1,Ccdc50,Tagln,Itm2a,Angptl2,Rnf144a,Angptl4,Itga2b,Tagln2,Timp1,Nxn,Lmna,P3h3,Ifngr2,Col4a1,Col1a2,Gng11,Ptger3,Rbp1,Rnf149,Lum,Arhgap32,Sh3pxd2a,Phlda3,Gas1,Myl12a,Cd63,Irs2"
