Tissue,CT,Gene
Adrenal glands,Chromaffin cells,"Slc26a4,Agrp,Igf2,Slc18a2,Snapin,Pnmt,Rapgef2,Serpine1,Gjd2,Cacna1d,Pik3c2a,Pld1,Pld2,Doc2b,Unc13a,Slc18a1,Stx1a,Npy,Ntrk1,P2ry1,Slc12a2,Chga,Plat"
Blood,Erythroblasts,"Cga,Tfrc,Cdh1,Wrn,Klf1,Bpgm,Ets1,Epor,Igbp1,Tfr2,Gypa,Lrp8,Grsf1,Use1,Cfp,Eng,Kit,Lmo2,Gata1,Tal1,Piezo1"
Blood,Erythroid-like and erythroid precursor cells,"Alas2,Aqp1,Ccna2,Pklr,Lox,Arg1,Ceacam1,Cd36,Gypa,Thbs1,Itga4,Fech,Epor,Kit,Bpgm,Dcaf12,Hemgn,Hmbs,Ncoa4,Rbm38,Ucp2,Ubb,Tmcc2,Slc4a1,Slc25a37,Gh,Htatsf1,Epb41,Rsad2,Car1,Cox6b2,Apoa1,Asns,Hist1h2ao,Stfa1,Alad,S100a9,Ahsg,S100a8,Hba-a2,Hbb-bt,Hba-a1,Ermap,Kcnn4,Pan3,Pfas,Vamp5,Hbb-bh1,Hba-x,Pnpo,Tspo2,Rhd,Klf1,Cldn13,Tspan33,Epb42,Cd55,Cd59a,Edrf1,Epb41l2,Gypc,Kel,Rhag,Thrb,Urod,Uros,Snca"
Blood,Platelets,"Ccl5,Vegfa,Pecam1,Cd36,Itga2b,Gp1ba,Spn,Cd46,Itga2,Itgb3,Selp,Cd69,Cd84,Cd109,Ccr3,Cd226,Tnfsf14,Lrrc32,Ltbr,Pf4,Gp5,F13a1,Thbs1,Abcc4,Bin2,Fermt3,Ptcra,Tubb1,Gp9,Ncoa4,Rgs18,Ppbp,Dab2,Hfe,Cxcr4,Clec1b,Mpl,F5,Treml1,P2ry12,Prkar2b,Stx11,Mfsd2b,Alox12,Plek,Selplg,Adgre5,Cd40,F11r,Tlr4,Crlf2,Il1a,Scarb1,Adam10,Ccr1,Ccr4,F2r,Nrgn,Gp1bb,Myl9,Map3k7cl,Ptgs1,Grap2,Hist1h3h,Wipf1,Cdkn2d,Pdzk1ip1,Agpat1,Smox,Hist1h2bk,Sh3bgrl2,Atp2a3,Alox5ap,Fhl1,Vwf,Rasgrp2,Slc2a3,Arhgap10,Treml2,Mmrn1,Ilk,Nod2,Serpine1,Mapk14,Abca3,Cxcl14,Esam,Prex1,S100a9,Atp8a1,Prkcd,Ptgs2,F7,Slc26a4,Palld,Slc17a9,Il33,Sirt3,Cyp2u1,Tlr1,Tlr6,Bglap,Lgals8,Itgb2,Cd40lg,Angpt1,Ackr3"
Blood,Reticulocytes,"Ruvbl1,Tfrc,Ucp3,Folr1,Ube2o,Cd36,Itga4,Slc11a2"
Bone,Hematopoietic stem cells,"Thy1,Mpl,Kit,Prom1,Flt3,Slamf1,Cxcr4,Tek,Abcg2,Baalc,Spn,Cdcp1,Myadm,Tgfb2,Ptpre,Taf7,Gata2,Gpr171,Angpt1,Procr,Nfe2,Nkx2-3,Hhex,Meis1,Lyl1,Elf1,Hlf,Rgs18,Myct1,Adgrg1,Dnmt3b,Mycn,Arid3a,Itga2b,Gata3,Robo4,Pitx2,Runx1,Gfi1,Cd48,Tlr2,Gnl3,G0s2,Cd34,Bmi1,Itga4,Anpep,Cd33,Il3ra,Hlx,Nkx3-1,Thsd1,Ncor2,Fgd5,Mecom,Ctnnal1,Vwf,Pbx2,Tal1,Erg,Neo1,Egr3,Maff,Itga6,Gjb1,Cdh2,Aldh1a1,Gfi1b,Notch1,Notch2,Plxdc2,Esam,Ace,Trpc6,Hoxb5,Tet2"
Bone,Osteoblasts,"Vdr,Lrp4,Egfl6,Mmp13,Gper1,Runx2,Nf2,Lrp5,Phex,Hif1a,C5ar1,Cxcl12,Col1a1,Plcd4,Foxo1,Socs3,Il33,Pard6g,Nlrp3,Alpl,Tnfsf11,Ccl11,Spp1,Fas,Wnt5a,Cx3cl1,F2r,Pth1r,Itga2,Itga5,Nod1,Nod2,Thy1,Esr1,Cyp27b1,P2rx4,P2rx5,Insr,Efnb2,Ephb4,Vcam1,Fgfr1,Fgfr2,Bglap,Tlr5,Calb1,Col11a1,Bglap2,Col11a2,Ibsp,Postn,Sfrp4,Bmp1,Olfml2b,Col12a1,Wisp2,Sp7,Penk,Npnt,Olfml1"
Bone,Osteoclast precursor cells,"Mitf,Nfkb1,Nfkb2,Tnfrsf11a,Traf6,Trem2,Cysltr1,Tlr4"
Bone,Osteoclasts,"Sost,Zbtb7a,Sema4d,Kcnma1,Tnfrsf11b,Tnfrsf11a,Mmp9,Acp5,Rab3b,Itpr3,Nrp2,Ager,Rgs18,Pth1r,Trpv5,Snx10,Ctsk,Oscar,Slc2a1,Dcstamp,Egfl7,Slc39a14,Aqp9,Onecut1,Itgb3,Itgb5,Irak3,Itga2,Tas1r3,Serpinf1,Itgav,P2ry6,Ccl3,Ephb1,Hif1a,Cx3cr1,Esr1,Efnb2,Vdr,Casr,Cd68,Grm8,Smad4,Spp1"
Bone,Osteocytes,"Sost,Efnb2,Pdpn,Fgf23"
Brain,Adrenergic neurons,"Th,Ddc,Dbh,Pnmt,Slc18a2,Npff,Slc12a7,Syt1"
Brain,Anterior pituitary gland cells,"Aga,Angpt1,Chga,Cpeb4,Gh,Igsf1,Mest,Nktr,Nucb2,Pitx2,Pou1f1,Prl,Rab27a,Rcn3,Sez6l2,Six6,Tbrg1,Tmem130,Pomc,Gmppa,Trim30b,Gnb3,Hepacam2,Asb4,Rax,Nkx2-1,Fgf10,Fshb,Pcsk1,Gnrhr,Pitx1,Tshb,Pax7,Lhb"
